F5	{(13059_2015_Article_659.PMC4460960.pdf.txt),(13059_2015_Article_716.PMC4566846.pdf.txt)}
F7	{(13059_2015_Article_659.PMC4460960.pdf.txt),(13059_2015_Article_665.PMC4443510.pdf.txt),(13059_2015_Article_716.PMC4566846.pdf.txt)}
F8	{(13059_2015_Article_659.PMC4460960.pdf.txt),(13059_2015_Article_665.PMC4443510.pdf.txt)}
F9	{(13059_2015_Article_659.PMC4460960.pdf.txt),(13059_2015_Article_665.PMC4443510.pdf.txt)}
FH	{(13059_2014_Article_560.PMC4310165.pdf.txt),(13059_2015_Article_580.PMC4354993.pdf.txt),(13059_2015_Article_599.PMC4389302.pdf.txt),(13059_2015_Article_605.PMC4380107.pdf.txt),(13059_2015_Article_611.PMC4389708.pdf.txt),(13059_2015_Article_614.PMC4404278.pdf.txt),(13059_2015_Article_623.PMC4414376.pdf.txt),(13059_2015_Article_627.PMC4404591.pdf.txt),(13059_2015_Article_692.PMC4506401.pdf.txt),(13059_2015_Article_694.PMC4506430.pdf.txt),(13059_2015_Article_695.PMC4474330.pdf.txt),(13059_2015_Article_738.PMC4546174.pdf.txt),(13059_2015_Article_778.PMC4576375.pdf.txt),(13059_2015_Article_804.PMC4630832.pdf.txt),(13059_2015_Article_805.PMC4630968.pdf.txt),(13059_2015_Article_827.PMC4659173.pdf.txt)}
GC	{(13059_2014_Article_560.PMC4310165.pdf.txt),(13059_2014_Article_561.PMC4290566.pdf.txt),(13059_2014_Article_566.PMC4305242.pdf.txt),(13059_2014_Article_567.PMC4305239.pdf.txt),(13059_2014_Article_569.PMC4301800.pdf.txt),(13059_2014_Article_571.PMC4316645.pdf.txt),(13059_2014_Article_574.PMC4326530.pdf.txt),(13059_2014_Article_579.PMC4365533.pdf.txt),(13059_2015_Article_581.PMC4389802.pdf.txt),(13059_2015_Article_591.PMC4396973.pdf.txt),(13059_2015_Article_597.PMC4378019.pdf.txt),(13059_2015_Article_598.PMC4355146.pdf.txt),(13059_2015_Article_599.PMC4389302.pdf.txt),(13059_2015_Article_605.PMC4380107.pdf.txt),(13059_2015_Article_609.PMC4336730.pdf.txt),(13059_2015_Article_610.PMC4391136.pdf.txt),(13059_2015_Article_612.PMC4381444.pdf.txt),(13059_2015_Article_614.PMC4404278.pdf.txt),(13059_2015_Article_617.PMC4396974.pdf.txt),(13059_2015_Article_619.PMC4376074.pdf.txt),(13059_2015_Article_628.PMC4408586.pdf.txt),(13059_2015_Article_632.PMC4404566.pdf.txt),(13059_2015_Article_633.PMC4425883.pdf.txt),(13059_2015_Article_637.PMC4414286.pdf.txt),(13059_2015_Article_641.PMC4425911.pdf.txt),(13059_2015_Article_642.PMC4434584.pdf.txt),(13059_2015_Article_645.PMC4427941.pdf.txt),(13059_2015_Article_652.PMC4419397.pdf.txt),(13059_2015_Article_659.PMC4460960.pdf.txt),(13059_2015_Article_661.PMC4443654.pdf.txt),(13059_2015_Article_666.PMC4457086.pdf.txt),(13059_2015_Article_671.PMC4504042.pdf.txt),(13059_2015_Article_676.PMC4448532.pdf.txt),(13059_2015_Article_683.PMC4480509.pdf.txt),(13059_2015_Article_684.PMC4487847.pdf.txt),(13059_2015_Article_685.PMC4474455.pdf.txt),(13059_2015_Article_692.PMC4506401.pdf.txt),(13059_2015_Article_697.PMC4531809.pdf.txt),(13059_2015_Article_701.PMC4507327.pdf.txt),(13059_2015_Article_702.PMC4511015.pdf.txt),(13059_2015_Article_704.PMC4494720.pdf.txt),(13059_2015_Article_708.PMC4514447.pdf.txt),(13059_2015_Article_711.PMC4511969.pdf.txt),(13059_2015_Article_716.PMC4566846.pdf.txt),(13059_2015_Article_724.PMC4539667.pdf.txt),(13059_2015_Article_725.PMC4539853.pdf.txt),(13059_2015_Article_727.PMC4557751.pdf.txt),(13059_2015_Article_728.PMC4539712.pdf.txt),(13059_2015_Article_734.PMC4558956.pdf.txt),(13059_2015_Article_736.PMC4562119.pdf.txt),(13059_2015_Article_738.PMC4546174.pdf.txt),(13059_2015_Article_740.PMC4549084.pdf.txt),(13059_2015_Article_741.PMC4574526.pdf.txt),(13059_2015_Article_744.PMC4546249.pdf.txt),(13059_2015_Article_745.PMC4556012.pdf.txt),(13059_2015_Article_746.PMC4578762.pdf.txt),(13059_2015_Article_749.PMC4578845.pdf.txt),(13059_2015_Article_753.PMC4580221.pdf.txt),(13059_2015_Article_754.PMC4563886.pdf.txt),(13059_2015_Article_760.PMC4587738.pdf.txt),(13059_2015_Article_769.PMC4582738.pdf.txt),(13059_2015_Article_770.PMC4571075.pdf.txt),(13059_2015_Article_772.PMC4590697.pdf.txt),(13059_2015_Article_774.PMC4591629.pdf.txt),(13059_2015_Article_783.PMC4597449.pdf.txt),(13059_2015_Article_784.PMC4629399.pdf.txt),(13059_2015_Article_785.PMC4595211.pdf.txt),(13059_2015_Article_791.PMC4640169.pdf.txt),(13059_2015_Article_797.PMC4619081.pdf.txt),(13059_2015_Article_803.PMC4618857.pdf.txt),(13059_2015_Article_811.PMC4647826.pdf.txt),(13059_2015_Article_816.PMC4638107.pdf.txt),(13059_2015_Article_821.PMC4661937.pdf.txt),(13059_2015_Article_823.PMC4661947.pdf.txt),(13059_2015_Article_825.PMC4668643.pdf.txt),(13059_2015_Article_827.PMC4659173.pdf.txt),(13059_2015_Article_831.PMC4665391.pdf.txt),(13059_2015_Article_832.PMC4665721.pdf.txt),(13059_2015_Article_835.PMC4669652.pdf.txt),(13059_2015_Article_838.PMC4674939.pdf.txt),(13059_2015_Article_841.PMC4674991.pdf.txt),(13059_2015_Article_850.PMC4673789.pdf.txt)}
GK	{(13059_2014_Article_570.PMC4311508.pdf.txt),(13059_2015_Article_594.PMC4378455.pdf.txt),(13059_2015_Article_596.PMC4342890.pdf.txt),(13059_2015_Article_598.PMC4355146.pdf.txt),(13059_2015_Article_601.PMC4355351.pdf.txt),(13059_2015_Article_620.PMC4377852.pdf.txt),(13059_2015_Article_621.PMC4407537.pdf.txt),(13059_2015_Article_622.PMC4373242.pdf.txt),(13059_2015_Article_624.PMC4404648.pdf.txt),(13059_2015_Article_627.PMC4404591.pdf.txt),(13059_2015_Article_630.PMC4399757.pdf.txt),(13059_2015_Article_644.PMC4423110.pdf.txt),(13059_2015_Article_660.PMC4464629.pdf.txt),(13059_2015_Article_671.PMC4504042.pdf.txt),(13059_2015_Article_675.PMC4471934.pdf.txt),(13059_2015_Article_684.PMC4487847.pdf.txt),(13059_2015_Article_690.PMC4506483.pdf.txt),(13059_2015_Article_695.PMC4474330.pdf.txt),(13059_2015_Article_720.PMC4531538.pdf.txt),(13059_2015_Article_735.PMC4566308.pdf.txt),(13059_2015_Article_745.PMC4556012.pdf.txt),(13059_2015_Article_757.PMC4583175.pdf.txt),(13059_2015_Article_760.PMC4587738.pdf.txt),(13059_2015_Article_761.PMC4561415.pdf.txt),(13059_2015_Article_769.PMC4582738.pdf.txt),(13059_2015_Article_771.PMC4587749.pdf.txt),(13059_2015_Article_775.PMC4578423.pdf.txt),(13059_2015_Article_794.PMC4612416.pdf.txt),(13059_2015_Article_799.PMC4641396.pdf.txt),(13059_2015_Article_802.PMC4635527.pdf.txt),(13059_2015_Article_815.PMC4667491.pdf.txt)}
HP	{(13059_2014_Article_578.PMC4373106.pdf.txt),(13059_2015_Article_633.PMC4425883.pdf.txt),(13059_2015_Article_705.PMC4499915.pdf.txt),(13059_2015_Article_720.PMC4531538.pdf.txt),(13059_2015_Article_727.PMC4557751.pdf.txt),(13059_2015_Article_741.PMC4574526.pdf.txt),(13059_2015_Article_771.PMC4587749.pdf.txt),(13059_2015_Article_802.PMC4635527.pdf.txt),(13059_2015_Article_804.PMC4630832.pdf.txt),(13059_2015_Article_816.PMC4638107.pdf.txt),(13059_2015_Article_817.PMC4657203.pdf.txt),(13059_2015_Article_818.PMC4653880.pdf.txt),(13059_2015_Article_852.PMC4674959.pdf.txt)}
HR	{(13059_2014_Article_575.PMC4326501.pdf.txt),(13059_2014_Article_576.PMC4334405.pdf.txt),(13059_2014_Article_578.PMC4373106.pdf.txt),(13059_2015_Article_584.PMC4350614.pdf.txt),(13059_2015_Article_594.PMC4378455.pdf.txt),(13059_2015_Article_605.PMC4380107.pdf.txt),(13059_2015_Article_608.PMC4375924.pdf.txt),(13059_2015_Article_612.PMC4381444.pdf.txt),(13059_2015_Article_617.PMC4396974.pdf.txt),(13059_2015_Article_618.PMC4391730.pdf.txt),(13059_2015_Article_620.PMC4377852.pdf.txt),(13059_2015_Article_630.PMC4399757.pdf.txt),(13059_2015_Article_636.PMC4450998.pdf.txt),(13059_2015_Article_648.PMC4467049.pdf.txt),(13059_2015_Article_653.PMC4414275.pdf.txt),(13059_2015_Article_689.PMC4469412.pdf.txt),(13059_2015_Article_694.PMC4506430.pdf.txt),(13059_2015_Article_696.PMC4492089.pdf.txt),(13059_2015_Article_699.PMC4501092.pdf.txt),(13059_2015_Article_735.PMC4566308.pdf.txt),(13059_2015_Article_749.PMC4578845.pdf.txt),(13059_2015_Article_750.PMC4561473.pdf.txt),(13059_2015_Article_760.PMC4587738.pdf.txt),(13059_2015_Article_767.PMC4576377.pdf.txt),(13059_2015_Article_784.PMC4629399.pdf.txt),(13059_2015_Article_791.PMC4640169.pdf.txt),(13059_2015_Article_796.PMC4635538.pdf.txt),(13059_2015_Article_811.PMC4647826.pdf.txt),(13059_2015_Article_819.PMC4656189.pdf.txt),(13059_2015_Article_823.PMC4661947.pdf.txt)}
HT	{(13059_2014_Article_573.PMC4305236.pdf.txt),(13059_2015_Article_583.PMC4342872.pdf.txt),(13059_2015_Article_591.PMC4396973.pdf.txt),(13059_2015_Article_606.PMC4389885.pdf.txt),(13059_2015_Article_627.PMC4404591.pdf.txt),(13059_2015_Article_633.PMC4425883.pdf.txt),(13059_2015_Article_666.PMC4457086.pdf.txt),(13059_2015_Article_673.PMC4443626.pdf.txt),(13059_2015_Article_678.PMC4469577.pdf.txt),(13059_2015_Article_690.PMC4506483.pdf.txt),(13059_2015_Article_700.PMC4531541.pdf.txt),(13059_2015_Article_758.PMC4574535.pdf.txt),(13059_2015_Article_791.PMC4640169.pdf.txt),(13059_2015_Article_797.PMC4619081.pdf.txt),(13059_2015_Article_801.PMC4635978.pdf.txt),(13059_2015_Article_819.PMC4656189.pdf.txt),(13059_2015_Article_827.PMC4659173.pdf.txt)}
